assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
2793806,30532,Athrotaxis laxifolia,Endangered,"B2ab(iii,v)",2013,2012-06-07 00:00:00 UTC,3.1,English,"In 2000, this (notho)species was assessed as Vulnerable under criterion D1 with the global population estimated to be less than 1,000 mature individuals. No decline was indicated in that assessment. The area of occupancy (AOO), estimated using herbarium collection data and a grid of 2 km, is 40 km² which could be an underestimate as there are more localities not sampled for institutional herbaria ((Brown and Hill in Farjon and Page (1999). However, with the few trees present in each locality the 2 km grid (IUCN recommended standard) is likely to be too generous. The AOO is by all estimates much less than 500 km², the population is severely fragmented and when this species declines with its congeners, as it is reasonable to assume, it meets the B criterion for listing as Endangered (EN).","Grows in dwarfed montane forest and temperate rain forest, often associated with the other species of <em>Athrotaxis</em>.","Because it occurs usually as solitary individuals, rarely in small groups, and generally with or near one or both of the other species A. cupressoides and<em> A. selaginoides</em>, it is at risk of extinction mainly because of its low number of individuals overall. Nearly all of these are now in reserves, where increasing fire frequency is the main threat, it would also be impacted by invasive pathogens like <em>Phytophthora</em> and browsing by introduced rabbits.",It is rarely encountered and occurs only in association with one or other of the latter two species. Populations are usually very small and consist of only a few individuals each.,Decreasing,"Endemic to Tasmania (Australia) where it is more scattered than, but sympatric with, the other two <em>Athrotaxis</em> species. Its area of occupancy is estimated to be 40 km<sup>2</sup>, based on herbarium specimens and using the standard IUCN mapping method. Within this area, its actual area of occupancy is likely to be much less. It is known from more than 10 locations but the subpopulations are regarded as severely fragmented.",This species has been taken into cultivation more often than its apparent rarity in the wild suggests and can be seen in several arboreta.,Terrestrial,"Nearly all known individuals are now in protected areas, where management is directed towards conservation of this and other species.",Australasian,,false,false,Global
2793882,30534,Pherosphaera fitzgeraldii,Critically Endangered,B1ab(iii),2013,2010-10-12 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Pherosphaera fitzgeraldii </span>meets the criteria for listing under Critically Endangered due to its restricted extent of occurrence (EOO) (&lt;50 km<sup>2</sup>), its restriction to a single location that is subject to threats (invasive species and pollution), severely fragmented population where gene or pollen flow is very unlikely to occur between any of the seven currently known sites and a continued decline in the quality of its habitat.","A very slow growing, dioecious, woody shrub that may reach 2.5 m in height, spreading to 5 m (Jones 1994). Restricted to the spray zone at the base of, and on ledges along the side of a few waterfalls flowing over south facing steep cliffs.","The main threats relate to water quality and the possibility of catastrophic fire and or occasional drought events. This species has probably been restricted to these south-facing cliffs to survive increased fire and temperatures across southern Australia over the millennia, especially considering comparisons to the climate of its nearest relatives in Tasmania, 1,500 km to the south. One catastrophic fire in an El Niño period could destroy some populations and while it is unlikely that all would perish, recruitment and re-establishment would be very slow. In the 1990s, water quality was killing plants due to algae growth on stems and leaves but improved sewerage treatment and piping after 1994 has lessened this threat. There is also some minor damage by people to plants near tracks. Invasive species such as blackberries (<em>Rubus</em> sp). and hybrid Montbretia are also a threat.",The most recent census (Jones 1994) recorded a total of 455 individuals. It also indicated that no seedlings had been recruited during the previous six years. The total number of genetically distinct individuals is likely to be much less than 455 as the major method of reproduction appears to be from layering. Pollen and gene flow between sites is very unlikely due to physical and ecological barriers. There appears to be very little prospect of re-colonization from one site to another.,Unknown,"<span class=""textblack80"">All currently-known subpopulations occur in the upper Blue Mountains between Wentworth Falls and Katoomba, a range of 9 km, News South Wales, Australia. The total extent of occurrence (EOO) is estimated to be less than 20 km<sup>2</sup>. Area of occupancy (AOO), based on presence in 4 km<sup>2</sup> grid cells, is estimated to be less than 12 km<sup>2</sup>. Actual area of occupancy would be much less due to its restricted habitat.",The species is not known to be used and is rare in cultivation.,Terrestrial,"This species is nationally listed as Endangered<strong><span lang=""EN-US""></strong><span lang=""EN-US""> under the <em>Environment Protection and Biodiversity Conservation Act 1999</em> and is also listed as Endangered under New South Wales state legislation (<span lang=""EN-US""><em>Threatened Species Conservation Act 1995</em>). The majority <span lang=""EN-US""><span lang=""EN-US"">of subpopulations occur within the Blue Mountains National Park. Weed control measures have been implemented and water quality at the waterfalls and in the catchment areas is being monitored. A limited <em>ex situ </em>collection of clones is maintained at the Royal Botanic Garden Sydney. <br/></span></span>",Australasian,,false,false,Global
2794516,30542,Callitris oblonga,Vulnerable,B1ab(iii),2013,2010-10-13 00:00:00 UTC,3.1,English,"The estimated extent of occurrence (EOO) for <span style=""font-style: italic;"">Callitris oblonga</span> is 5,835 km<sup>2</sup> based on recent herbarium specimens. This is a cumulative total from each area (Northern Tablelands: 4,700 km<sup>2</sup>; Southern Tablelands: 12 km<sup>2</sup>; Tasmania: 1,123 km<sup>2</sup>). Although the area of occupancy has not been calculated, it is likely to be less than 500 km<sup>2</sup> as subpopulations are relatively small and localised. Despite the great geographic disjunctions between the three main areas, individual subpopulations are not considered severely fragmented in the IUCN context. Nine locations have been identified based on common threats within geographical areas. In some parts of the range there is a continuing decline in quality of habitat due to the impact of exotic weeds, feral animals and habitat conversion.On this basis, <span style=""font-style: italic;"">C. oblonga</span> is listed as Vulnerable under Criterion B.","A tall shrub or small tree. In NSW it occurs along sandy watercourses, shrubland, open woodland in granite country, and dry sites, such as exposed ridges at relatively high altitudes. In Tasmania, it occurs much closer to sea level, in scattered stands along creeks and rivers. Throughout its range it is fire sensitive: mature individuals are usually killed but there may be substantial regeneration from the release of seed contained within the serotinous cones in the canopy. In northern New South Wales, fire intervals of at least 11 years are required to allow regeneration (Clarke 2009). Regeneration may also occur after flooding. Seedlings are shade intolerant and require open ground for establishment.","Primary threats include clearing, degradation and fragmentation of habitat for agriculture; frequent fire; grazing by domestic stock, rabbits (<span style=""font-style: italic;"">Oryctolagus cuniculus</span>) and feral goats (<span style=""font-style: italic;"">Capra hircus</span>); weed invasion, particularly by Blackberry (<span style=""font-style: italic;"">Rubus fruticosus</span>), Broom (<span style=""font-style: italic;"">Cytisus</span> sp.) and Gorse (<span style=""font-style: italic;"">Ulex europaeus)</span>; destruction and disturbance of habitat for road works and roadside maintenance activities and erosion through removal of streamside vegetation (Threatened Species Unit 2004; Threatened Species Scientific Committee 2007). In northeast Tasmania temperature rise and changes to rainfall and other climatic factors associated with anthropogenic climate change is predicted to affect the environmental range of the community in which <span style=""font-style: italic;"">C. oblonga</span> occurs as well as increasing the risk of stochastic events such as fire and flood (Threatened Species Unit 2004).","Overall population size is unknown although in Tasmania there are estimated to be 3,000-4,000 individuals. Although floods and fires may eliminate mature individuals, most subpopulations regenerate in the absence of competition from exotic weeds, feral animals and overgrazing.",Stable,"<span style=""font-style: italic;"">Callitris oblonga</span> occurs in three widely separated areas. In northern New South Wales it is found in a few localities in the New England Tablelands at altitudes ranging from 800 to 1,300 m asl. In southern New South Wales, (over 500 km south) there is a single locality along the Corang River at altitudes ranging from 570 to 630 m asl. In Tasmania, over 800 km further south, it is restricted to two small areas in the northeast part of the state at altitudes ranging from 10 to 230 m asl. No intervening localities have been recorded. The estimated extent of occurrence (EOO) is 5,835 km<sup>2</sup>, based on recent herbarium specimens. This EOO is a cumulative total from each area (Northern Tablelands: 4,700 km<sup>2</sup>; Southern Tablelands: 12 km<sup>2</sup>; Tasmania: 1,123 km<sup>2</sup>). In Tasmania the EOO includes an outlying locality more than 60 km from any other locality: the actual area of occupancy is estimated to be as little as 448 hectares. Its overall area of occupancy has not been calculated but it is certainly less than 500 km<sup>2</sup> as the New South Wales subpopulations are small and localized.",There is limited ornamental use of this species in Tasmania.,Terrestrial,"At a federal level, <span style=""font-style: italic;"">C. oblonga</span> is listed as Vulnerable under the Environment Protection and Biodiversity Conservation Act 1999 (EPBC Act). Prior to this it was also listed as Vulnerable under Schedule 1 of the Endangered Species Protection Act 1992. In New South Wales the species is listed as Vulnerable on the Threatened Species Conservation Act 1995 (NSW) while in Tasmania the subspecies <span style=""font-style: italic;"">Callitris oblonga</span> subsp. <span style=""font-style: italic;"">oblonga</span> is listed as Endangered on the EPBC Act and as Vulnerable on the Threatened Species Protection Act 1995 (Tasmania). In addition to these listings, the <span style=""font-style: italic;"">Eucalyptus ovata</span> - <span style=""font-style: italic;"">C. oblonga</span> forest ecological community in Tasmania is listed as Endangered under the federal <strong style=""font-weight: normal;"">Environment Protection and Biodiversity Conservation Act 1999 (</strong>EPBC<strong style=""font-weight: normal;""> Act)</strong>. In New South Wales subpopulations that occur within the Montane Peatlands and Swamps of the New England Tableland, NSW North Coast, Sydney Basin, South East Corner, South Eastern Highlands and Australian Alps bioregions have been listed as an Endangered ecological community under state legislation. Listing under the various state and federal laws requires that  monitoring and recovery plans are designed and put into place. These  plans involve a range of strategies and actions to counter the main  threats from exotic weeds and animals, clearing of vegetation and inappropriate fire regimes. <br/>In Tasmania <span style=""font-style: italic;"">C. oblonga</span> is known from the Douglas Apsley National Park. In other areas, some stands are under either local government protection or are subject to conservation covenant agreements with local landowners. Addtionally there is a moratorium on any further clearing of the threatened forest community in which it occurs (Threatened Species Unit 2004). In New South Wales, two subpopulations are known from within Werrikimbe and Guy Fawkes National Parks. While most are on private land, many of these are subject to conservation covenant agreements.",Australasian,,false,false,Global
2810019,32054,Athrotaxis cupressoides,Vulnerable,"B1ab(ii,iii,v)+2ab(ii,iii,v)",2013,2012-06-07 00:00:00 UTC,3.1,English,"Calculations of extent of occurrence (EOO) and area of occupancy (AOO) for <span style=""font-style: italic;"">Athrotaxis cupressoides</span> are based on herbarium specimen distribution data. While EOO appears roughly in accordance with a map published by Brown and Hill in Farjon and Page (1999), the AOO could be too small if a grid size of 2-4 km were used. This is because there are many stands known that were not sampled for the herbaria consulted. Using a 5 km grid the species qualifies for a Vulnerable listing under the observation of slowed but still ongoing decline because of various threats. The population is also considered to be severely fragmented.","A relatively small slow growing, long-lived tree of the subalpine zone where it occasionally forms dense stands. Often found in fire protected sites such as bogs, around lake shores or alongside streams. Usually associated with conifers such as <span style=""font-style: italic;"">Diselma archeri</span> and <span style=""font-style: italic;"">Pherosphaera hookeriana</span> and angiosperms such as <span style=""font-style: italic;"">Eucalyptus coccifera</span>, <span style=""font-style: italic;"">Orites acicularis</span>, <span style=""font-style: italic;"">Richea scoparia</span>, <span style=""font-style: italic;"">R. pandanifolia</span> and <span style=""font-style: italic;"">Nothofagus gunnii</span>.","This species is extremely fire sensitive and much of the total population was fire-killed mainly in widespread fires on the Central Plateau in 1960/61. Regeneration of the species is limited by grazing, mainly by introduced sheep and rabbits, of which the latter remain a problem. Dieback in which a species of the oomycete genus <span style=""font-style: italic;"">Phytophthora</span> may be implicated occurs at some high altitude sites.",<p>The population has declined significantly in the recent past but the actual size of this reduction is unknown. The current decline is slower but it has not ceased.</p>,Decreasing,"Endemic to Tasmania (Australia), occurring mainly on the Central Plateau, the Great Western Tier and westward mountains, more scattered in the south of the island. The extent of occurrence and area of occupancy, based on herbarium specimens and standard IUCN mapping techniques, is estimated to be 12,818 km<sup>2</sup> and 650 km<sup>2</sup> respectively. Estimates of the area of occupancy for the main vegetation types that <span style=""font-style: italic;"">A. cupressoides</span> occurs in, are considerably less: 24,279 ha (Balmer<em> et al</em>. 2004). Occurs between 700 and 1,300 m asl.","No current uses have been recorded for this species. It's gnarled trunks do not make good timber, but the species may occasionally be traded and grown as an ornamental.",Terrestrial|Freshwater (=Inland waters),"Over 90% of the remaining areas of the species are now within IUCN Category I-IV reserves, especially within the Tasmanian Wilderness World Heritage Area.",Australasian,,false,false,Global
2810057,32055,Athrotaxis selaginoides,Vulnerable,"A2cd; B1ab(ii,iii,v)+2ab(ii,iii,v)",2013,2012-06-07 00:00:00 UTC,3.1,English,"The extent of occurrence (EOO) and area of occupancy (AOO) for <em>Athrotaxis selaginoides</em> are within the thresholds for Vulnerable (VU) even considering uncertainties in the estimation of AOO based on herbarium collection data. Localities mapped by Brown and Hill (in Farjon and Page 1999) in southwestern Tasmania are not represented by herbarium specimens. Allowing for these and other omissions, the AOO in particular would still be substantially less than 2,000 km². The population is severely fragmented and it is estimated that there has been a population reduction of at least 40% over the last 200 years (three generations would be about 300 years), primarily due to fires. While decline has slowed, it has not ceased. This species therefore qualifies for a Vulnerable listing under criteria A2, B1 and B2.","A large tree commonly found in the transition zone to (above) montane <span style=""font-style: italic;"">Eucalyptus</span> woodland; at higher altitudes it is less frequent, and ocurs on lake shores or alongside streams in sheltered places. The altitudinal range is mostly&#160; between 730 and1,200 m a.s.l. but occasionally occurs down to 400 m. Grows in acidic, rocky (talus) or peaty soils which are usually wet.","The main cause of past decline has been fire, with about one third of its habitat burnt in the twentieth century. Like the other two <span style=""font-style: italic;"">Athrotaxis</span> species, <span style=""font-style: italic;"">A. selaginoides</span> is sensitive to fire. Another cause of past decline has been logging. The overall decline is estimated to be about 40% over the last 200 years. This is within the three generation time limit where one generation is estimated to be at least 100 years. Although 84% of forests are now in protected areas, fires still are a potential hazard. Tasmanian Government policy precludes logging of this species in and outside these protected areas.","Population reduction has slowed compared to estimated rates in the past 100 years, but it has not ceased as fires are still destroying trees. Regeneration is very slow.",Decreasing,Endemic to Tasmania (Australia) where it is widely distributed in the highlands of the western and southwestern parts of the island.,"King William Pine provides some excellent wood for special uses like wood carving and turning. However, virtually all trees, including dead wood, are now within protected areas and removal is prohibited. In horticulture it is present only in arboreta and other botanical collections.",Terrestrial,Almost 84% of the entire population is contained within protected areas.,Australasian,,false,false,Global
2843367,34074,Callitris monticola,Vulnerable,"B1ab(ii,iii,v)",2013,2010-10-25 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Callitris monticola</span> has a restricted distribution and occurs in a restricted habitat. Although the area of occupancy is within the threshold for Endangered (&lt;500 km<sup>2</sup>), the number of locations is more than five and the subpopulations are not considered severely fragmented. The extent of occurrence is within the threshold for Vulnerable (&lt;20,000 km<sup>2</sup>) and it is known from eight locations. There is some evidence of a decline in area of occupancy (Farjon 2005, 2010) and reduction in the quality of habitat in some parts of its range. On this basis it is assessed as Vulnerable B1ab(ii,iii,v).","A dwarf tree found in <span style=""font-style: italic;"">Kunzea bracteolata </span>and <span style=""font-style: italic;"">Leptospermum nova-angliae</span> dominated heaths and shrublands on exposed granitic outcrops, particularly on sheet granite with crevices, cracks and shallow soil islands. Occasionally on exposed outcrops in <span style=""font-style: italic;"">Eucalyptus</span> woodlands (Hunter and Clarke 1998, Hunter and Sherringham 2008)","Under some threat from unplanned fires as fire frequencies  greater than every 8-15 years are likely to eliminate this species from  a particular area (Clarke 2009, Watson 2001). Grazing from domestic stock and feral goats is also a problem in some parts of its range.",A localized species which is declining due the impacts of fires. It appears to have been lost from the locality on the summit of Bald Rock (Farjon 2010).,Decreasing,"Restricted to a few localities in northeastern New South Wales and the border of Queensland. Although the extent of occurrence is estimated to be about 16,000 km<sup>2</sup>, its area of occupancy, inferred from herbarium records to be more than 10 km<sup>2</sup> but less than 500 km<sup>2</sup>, is very limited due to its narrow ecological niche. There are at least eight locations.",No uses are known.,Terrestrial,In Queensland this species is listed as Near Threatened (Queensland Government 2010). It is not currently listed in New South Wales although its status under the Rare or Threatened Plants of Australia (ROTAP) system means that it is targeted for special management in national parks such as Boonoo Boonoo and Bald Rock National Parks (NSW National Parks and Wildlife Service 2002).,Australasian,,false,false,Global
2846173,34107,Prumnopitys ladei,Vulnerable,D1,2013,2011-11-11 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Prumnopitys ladei </span>is a rare popocarp tree which occurs in remnants of primary rainforest&#160; within an extent of occurrence of 161 km. The area of occupancy when estimated on the basis of known (collected) localities using a 2 km wide grid (as recommended by IUCN) would be 28 km² but it is here considered smaller because the tree is very rare and scattered. Its total population would not exceed 1,000 mature trees. It therefore meets the criterion D1 for listing as Vulnerable.","This rare species is restricted to (remnants of) rainforest habitat mainly on two mountains in northeast Queensland. These mountains are granitic outcrops in the Atherton Tableland. The altitudinal range of the species is between 930 m and 1,400 m a.s.l. The rainforest on these mountains is dominated by angiosperms with scattered podocarps: <span style=""font-style: italic;"">Podocarpus smithii</span>, <span style=""font-style: italic;"">Prumnopitys ladei </span>and <span style=""font-style: italic;"">Sundacarpus amarus</span>. <span style=""font-style: italic;"">Prumnopitys ladei</span> is the rarer of these species. The seeds are eaten by native rats (Cooper and Cooper 1994).","The surviving rainforests on both mountains are now partly within protected areas. Logging has almost certainly reduced the area of occupancy (AOO) of <span style=""font-style: italic;"">Prumnopitys ladei </span>on Mt. Lewis, presently the smaller of the two subpopulations. In 1974 a herbarium collection was made within the ""North Mary Logging Area"" of State Forest Reserve 143 (B.P.M. Hyland 7882); this implies that logging of primary forest was then still undertaken and it would not have spared this species. Several of these logging areas existed there between 1960-1980 according to data on herbarium labels.","<p>This species is a rare tree occurring in localized and small subpopulations in remnants of evergreen rainforest. The population has declined in the past (but no rates or quantities are known) but this decline has recently ceased as remaining rainforest is coming under legal protection with the increase in and expansion of conservation areas in Queensland. The rarity of this tree was apparent on a recent visit by the author of this assessment to Mt. Lewis (guided by a local botanist who had marked the locality on the track with pink straps) when at this locality not more than five mature trees were found in one hour of search by three people&#160;(A. Farjon pers. obs.)&#160;. In addition, some seedlings and saplings were present. It is unlikely that the global population exceeds 1,000 trees.</p>",Stable,"Recorded from Mt. Lewis, Mt. Spurgeon and a few other localities nearby in northeast Queensland, Australia. The extent of occurrence is only 161 km<sup>2</sup> and the area of occupancy about 16 km<sup>2</sup>.","The wood of this species is used for construction and carpentry, but it is too rare to be of much economic importance. It is said to have potential as an ornamental tree but is rarely used in that capacity and may not be present outside botanical collections.",Terrestrial,"This species is present in two protected areas on Mts. Lewis and Spurgeon. Protected areas of primary rainforest are being expanded, but it is not known at present whether this will eventually include all known individual trees of this species. It is listed as Near Threatened under the Queensland Governments Nature Conservation (Wildlife) Amendment Regulation (No. 1) 2010 (Bostock and Holland 2010).",Australasian,,false,false,Global
6996688,173349,Posidonia sinuosa,Vulnerable,A2ce,2010,2007-10-23 00:00:00 UTC,3.1,English,"<em>Posidonia sinuosa</em> is endemic to western and southern Australia. This species is slow growing and has a long recruitment time of 20 years. There have been major areas of loss across the range of <span style=""font-style: italic;"">P. sinuosa</span> which have caused significant population declines. Major threats to this species are a decrease in water quality, sedimentation and coastal development. This species is more susceptible to detrimental human activities due to slower growth and less flowering than other <span style=""font-style: italic;"">Posidonia</span> spp. Over the last 60 years (three generation lengths), the recorded declines in areas of this species suggests a population reduction greater than 30%. Therefore this species is listed as Vulnerable under criterion A2.","<em>Posidonia sinuosa</em> is widely distributed in marine embayments and near shore areas on the western and southern coasts of Australia from low water to 15 m depth in sandy substrates. It may form meadows with <em>Amphibolis</em> spp. and typically grows in linear rows up to 50 cm wide, parallel to prevailing direction of water movement (Cambridge and Kuo 1979). This species is slow growing and has a long recruitment time of 20 years.<br/><br/><em>Posidonia</em><em> sinuosa</em> has inflorescences born on flattened, leafless peduncles, with reduced, hermaphroditic flowers and filiform pollen. Inflorescence of <em>P. sinuosa</em> are well hidden below the ""umbrella-like"" meadow canopy at ~10 cm above the sediment. Anthesis and fruiting occurs from August to January (Womersley 1984).<br/><br/><em>Posidonia</em><em> sinuosa</em> meadows have a high number of tightly packed shoots with overhanging semi-permanently bent top portions. This species has high leaf density surrounding the flowers which may prevent the pollen from escaping out of the meadow into the overlying water column. This likely leads to greater neighbour to neighbour pollination in this species (Smith and Walker 2002).","Major threats to this species are excessive nutrient inputs, eutrophication, sedimentation and pollution, and dredging and sand mining activities. Coastal developments such as port development are also threatening for this species.","There have been major areas of loss across the range of <em>Posidonia sinuosa</em> due to human activities, which have caused significant population declines. Based on 11 studies during the period between 1990 and 2000, there was a 1.2 % annual decline in&#160; the area&#160; of this seagrass (Orth and Dennison 2007). Over the last 60 years (three generation lengths), the recorded declines in areas of this species suggests a population reduction greater than 30%.<br/><br/>In one area of <em>P. sinuosa</em>'s distribution, Cockburn Sound has been subjected to steady degradation since 1954, with the establishment of an oil refinery and the successive establishments of steel works, fertilizer factories, sewage-treatment facilities, and a power station. This has lead to contaminated effluents and increased nutrient loads. Between 1954 and 1978 the meadow in this region reduced from 4,200 to 900 ha (Cambridge and McComb 1984).<br/><br/>Seagrass loss (<em>Posidonia australis</em> and <em>P. sinuosa</em>) in Oyster Harbour between 1962 and 1988 was the culmination of diffuse nutrient and sediment influx from rural catchments (Cambridge <em>et al</em>. 2002).",Decreasing,"<em>Posidonia sinuosa</em> is endemic to western and southern Australia. It is distributed from Kalbarri to Eyre in Western Australia and from the head of the Great Australian Bight to Encounter Bay, South Australia.",,Marine,"<em>Posidonia</em><em> sinussa</em> is protected in various Marine Protected Areas (MPAs), in Fisheries Acts, National and Marine Park Acts. There are no specific conservation measures for this species.","",,false,false,Global
7624677,178844,Avicennia integra,Vulnerable,"B1ab(ii,iii)",2010,2008-03-07 00:00:00 UTC,3.1,English,"This species has a very restricted range in Australia, and has very specific riverine-estuarine habitat requirements. It range is severely fragmented, and it is only found in 15 locations with an estimated population size of less than 5,000 mature individuals and an extent of occurrence of less than 20,000 km². This species is experiencing continued decline in both area of occupancy and in the number of mature individuals by continued urban development in the western part of its range. Although extensive historical data is not available, it is very likely that this species has experienced a high population decline. It is therefore listed as Vulnerable under criterion B.","This species is found in the intermediate estuarine zone in the low intertidal region. It is only found in low intertidal zone and in the mid-upstream position of larger catchments or riverine-affected estuaries. It grows on soft-intertidal mud banks of convex meandering riverbanks (accreting zone). This species is a tree or shrub, 2-7 m tall. This species has a high tolerance to hypersaline conditions (Tomlinson 1986).","This species is found in a remote area of northern Australia where the climate appears to be getting increasingly wet as the local climate changes. This may be potentially favorable for the persistance of the species. However, this species is threatened by continued loss of habitat and area of occupancy due to urban development in the western part of its range (near Darwin).<br/><br/>Direct use of mangroves in is not common in Australia, and vast areas of mangrove remain in a pristine state. In the past, European colonists cleared areas of mangroves for community development. Currently, mangroves are being cleared for urban development, ports, airports, and tourist resorts, but the overall impact on Australian mangroves is low (Spalding <em>et al</em>. 1997).<br/><br/>All mangrove ecosystems occur within mean sea level and high tidal elevations, and have distinct species zonations that are controlled by the elevation of the substrate relative to mean sea level. This is because of associated variation in frequency of elevation, salinity and wave action (Duke <em>et al</em>. 1998). With rise in sea-level, the habitat requirements of each species will be disrupted, and species zones will suffer mortality at their present locations and re-establish at higher elevations in areas that were previously landward zones (Ellison 2005). If sea-level rise is a continued trend over this century, then there will be continued mortality and re-establishment of species zones. However, species that are easily dispersed and fast growing/fast producing will cope better than those which are slower growing and slower to reproduce. <br/><br/>In addition, mangrove area is declining globally due to a number of localized threats. The main threat is habitat destruction and removal of mangrove areas. Reasons for removal include cleared for shrimp farms, agriculture, fish ponds, rice production and salt pans, and for the development of urban and industrial areas, road construction, coconut plantations, ports, airports, and tourist resorts. Other threats include pollution from sewage effluents, solid wastes, siltation, oil, and agricultural and urban runoff. Climate change is also thought to be a threat, particularly at the edges of a species range. Natural threats include cyclones, hurricane and tsunamis.","It is estimated that there are only a few hundred individuals in each of the 15 locations where it is found. The global population is therefore estimated to be between 3,000 and 5,000 mature individuals.",Decreasing,"This species has a restricted range, and is endemic to northern Australia. It is found in only 15 locations (riverine-estuaries), and has an extent of occurrence estimated to be less than 20,000 km².",,Terrestrial|Marine,"There are no conservation measures specific to this species, but its range may include some marine and coastal protected areas. Continued monitoring and research is recommended, as well as the inclusion of mangrove areas in marine and coastal protected areas.",Australasian,,false,false,Global
7631250,178867,Macrozamia machinii,Vulnerable,"B1ab(i,iii,v)+2ab(i,iii,v)",2010,2009-10-31 00:00:00 UTC,3.1,English,"Classified as Vulnerable based on a relatively small extent of occurrence (460 km²), and therefore presumed small area of occupancy (&lt; 500 km²), occurrence at eight locations and continuing decline in quality of habitat and numbers of mature plants due to poachers.",This species is found growing on flat areas in deep sandy soils covered with mixed forest. One of the subpopulations grows on a ridge in red lateritic loam.,This species may be subject to poaching.,Specimens are found in eight subpopulations which range from small to relatively large in size.,Decreasing,"This species occurs in Queensland, Australia, where it is found near Inglewood in the Darling Downs area. Occurs from 320 to 460 m asl.",,Terrestrial,This species is listed on Appendix II of the CITES Appendices. Most of the subpopulations occur in State Forests.,Australasian,,false,false,Global
